old_scene,old_timestamp,old_title,new_chapter_id,new_section_id,editorial_action,image_policy,editorial_note
20,39:53,"片頭痛の予防治療",migraine,migraine-treatment-overview,"急性期・予防治療の概説へ統合","omit","固定薬剤一覧にせず最新版確認を明記"
21,40:46,"片頭痛発作の時間経過",migraine,migraine-phases,"予兆・前兆・頭痛・回復へ統合","optional-real-timeline","実図が本文理解を改善する場合のみ"
22,41:36,"視覚前兆：閃輝暗点",migraine,migraine-phases,"前兆の例へ統合","optional-real-illustration","権利確認済みの教育図のみ"
23,42:45,"皮質拡延性脱分極",migraine,migraine-phases,"神経生理の補足へ統合","optional-real-diagram","タイトル画像ではなく機序図のみ"
24,44:50,"前兆のない片頭痛：診断基準",migraine,migraine-criteria,"正式基準へ統合","omit","本文の基準リストを正本にする"
25,47:17,"ICOPの『口腔顔面片頭痛』",migraine,orofacial-migraine,"ICOPとICHDの使い分けへ統合","omit","講義の単純化を補正"
26,48:19,"口腔顔面片頭痛：診断基準",migraine,orofacial-migraine,"純粋顔面型の条件と希少性へ統合","omit","頭痛併存例を誤分類しない"
27,48:33,"緊張型頭痛：頻度による分類",tth-tmd,tth-frequency-criteria,"頻度分類と基準へ統合","omit","本文リストを使用"
28,50:18,"頭蓋周囲筋の圧痛",tth-tmd,pericranial-tenderness,"関連所見の限界へ統合","optional-real-exam-diagram","標準触診図がある場合のみ"
29,51:21,"緊張型頭痛の診断像",tth-tmd,tth-frequency-criteria,"正式基準へ統合","omit","単独カード化しない"
30,52:32,"片頭痛と緊張型頭痛の比較",tth-tmd,tth-vs-migraine,"比較表へ統合","omit","本文表を使用"
31,54:30,"三叉神経・自律神経性頭痛（TACs）",tacs-tn,tac-overview,"TACs導入へ統合","omit","題名だけの疑似スライド禁止"
32,55:36,"TACsの分類",tacs-tn,tac-overview,"持続時間比較表へ統合","omit","本文表を使用"
33,57:20,"群発頭痛の臨床像",tacs-tn,cluster,"群発頭痛の本文へ統合","omit","患者イラストは必須でない"
34,59:58,"群発頭痛：診断基準",tacs-tn,cluster,"正式基準へ統合","omit","本文を正本にする"
35,1:01:18,"群発頭痛が歯痛として現れるとき",tacs-tn,cluster,"歯科受診・診断遅延へ統合","omit","文献リンクを付ける"
36,1:02:40,"歯科向け啓発：TACsを知る",tacs-tn,cluster,"臨床注意へ統合","omit","外部ポスター画像を無断転載しない"
37,1:03:19,"片側発作性疼痛の比較表",tacs-tn,tac-overview,"統合比較表へ再編集","omit","旧表の画像ではなくアクセス可能なHTML表"
38,1:04:44,"持続性片側頭痛",tacs-tn,hc-ph,"基準と症例適合へ統合","omit","インドメタシン反応の不足を明記"
39,1:05:10,"三叉神経痛との違い",tacs-tn,tn,"時間・トリガーの説明へ統合","omit","本文で完結"
40,1:06:11,"治療反応も鑑別の手掛かり",tacs-tn,treatment-response-differential,"反応の限界へ統合","omit","薬剤反応を診断証明にしない"
41,1:07:51,"症例へ戻る",case-return,return-hypothesis,"章導入へ統合","omit","復帰ボタンや別画面にしない"
42,1:08:15,"鑑別表へ頭痛群を追加",case-return,return-hypothesis,"仮説更新へ統合","omit","一つの連続文脈で示す"
43,1:08:38,"Step 3：検査は仮説を区別するために",case-return,return-hypothesis,"質問目的のリストへ統合","omit","検査一覧だけにしない"
44,1:09:41,"追加問診：二次性頭痛を先に確認",case-return,return-hypothesis,"安全性質問へ統合","omit","SNNOOP10を診断スコア化しない"
45,1:11:08,"追加問診：頭痛群を分ける質問",case-return,return-hypothesis,"疾患別質問へ統合","omit","読者回答クリック不要"
46,1:12:22,"咀嚼筋・顎関節の診察",case-return,exam-findings,"診察所見とDC/TMD条件へ統合","optional-real-exam-diagram","筋名は原記録確認なしに断定しない"
47,1:13:21,"神経学的診察",case-return,exam-findings,"正常所見の限界へ統合","omit","正常＝一次性確定としない"
48,1:13:38,"心理社会的評価",case-return,exam-findings,"評価目的の説明へ統合","omit","心因性判定に使わない"
49,1:14:11,"自律神経症状を確認",case-return,exam-findings,"左右・同時性の確認へ統合","omit","鼻症状だけでTACsにしない"
50,1:14:28,"脳MRI",case-return,exam-findings,"画像所見と限界へ統合","optional-real-diagnostic-image","患者識別情報のない実画像と観察点がある場合のみ"
51,1:14:48,"鑑別を絞り込む",case-return,diagnostic-matrix,"支持・反証・不足表へ統合","omit","正解一択表示にしない"
52,1:15:09,"暫定診断：複数の痛みを分ける",case-return,diagnostic-matrix,"複数仮説の重み付けへ統合","omit","暫定を確定と表示しない"
53,1:16:09,"診断とマネジメントの対応表",management,management-plan,"説明・記録・紹介へ統合","omit","本文とチェックリストで表現"
54,1:17:22,"患者への説明と治療計画",management,management-plan,"患者説明へ統合","omit","動画へ戻すCTAにしない"
55,1:18:24,"アミトリプチリンを検討する場面",management,conservative-care,"個別性と注意を添えて統合","omit","用量・一律推奨を作らない"
56,1:18:35,"神経内科での治療経過",management,medication-course,"症例経過へ統合","omit","治療反応を診断証明にしない"
57,1:19:27,"トリプタンとラスミジタンの作用点",management,medication-course,"受容体と安全性の説明へ統合","optional-real-mechanism-diagram","機序図がある場合のみ。安全性を過剰表現しない"
58,1:20:14,"三大頭痛群の最終比較",management,summary-comparison,"最終比較表へ統合","omit","ピクトグラムよりHTML表を優先"
59,1:20:33,"Take home：歯痛の外側を見る",management,summary-comparison,"結論へ統合","omit","題名画像を作らない"
60,1:21:49,"講演終了・質疑へ",management,summary-comparison,"区切りだけ保持","omit","謝辞・終了スライドは掲載しない"
61,1:23:00,"質疑：咬筋の厚さは診断に使えるか",masseter-research,masseter-study,"研究データと限界へ統合","optional-real-research-chart","出典と軸が明確な再作図のみ"
62,1:27:10,"筋硬度・筋厚をどう解釈するか",masseter-research,biomarker-interpretation,"外部研究との批判的統合","optional-real-research-chart","群差を個人診断へ変換しない"
